,,,,,,,,,,,,,
,Price Matrix for SCAN ONLY,,,,,,,,,,,,
,,,,,,,,,,,,,
1,"Scan Only - Full Day Trimble X7 - $2,500",,,,,,,,,,,,
,Up to 10 hrs on site (within 50 mi.),,,,,,,,,,,,
,,,,,,,,,,,,,
1,"Scan Only - Half Day Trimble X7 - $1,500",,,,,,,,,,,,
,Up to 4 hrs on site (within 50 mi.),,,,,,,,,,,,
,,,,,,,,,,,,,
1,Matterport - 10c per sqft,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
                 Pricing for Travel,,,,,,,,,,,,,Price Matrix for SCAN ONLY
,,,,,,,,,,,,,
1,Travel in NYC,,,,,,,,,,,,
,"$250 minimum, after $8/mi (one way distance, from Borinquen Place Williamsburg Brooklyn)",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Travel Troy or Woodstock/Bearsville HQ (driving),,,,,,,,,,,,
,"$3/mi (one way distance from 1888 1st St, Troy NY 12180)",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Overnight Travel Local,,,,,,,,,,,,
,Credit Card Limits - up to $150/night hotel,,,,,,,,,,,,
,,,,,,,,,,,,,
,Per Diem - $50,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Overnight Travel + Flying ,,,,,,,,,,,,
,,,,,,,,,,,,,
,Flight?,,,,,,,,,,,,
,up to  $250/night hotel,,,,,,,,,,,,
,,,,,,,,,,,,,
,Per Diem - $100,,,,,,,,,,,,
,,,,,,,,,,,,,
                 Pricing for EXPEDITED SERVICE,,,,,,,,,,,,,                 Pricing for Travel
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,-,20% INCREASE FOR EXPEDITED SERVICE,,,,,,,,,,,
,-,REDUCE TURNAROUND FOR DELIVERY BY 1 WEEK,,,,,,,,,,,
,,,,,,,,,,,,,
Special Payment Terms,,,,,,,,,,,,,                 Pricing for EXPEDITED SERVICE
,,,,,,,,,,,,,
,Net 30 days,0% interest,,,,,,,,,,,
,Net 60 days,10% interest,,,,,,,,,,,
,Net 90 days,20% interest,,,,,,,,,,,
