,,,,,,,
,Price Matrix for CAD Conversion,,,,,,
,,,,,,,
,,,,,,,
1,Revit to CAD Conversion,,,,,,
,"Note Subject to a min charge of $300 / Standard Package includes floor plans, exterior elevations, up to 2 sections, reflected ceiling plans (If MEP is in scope) / Interior Package (Interior only projects) includes floor plns, 8 interior elevations, 1 section, reflected ceiling plans (if MEP is in scope) / Additional sections interior elevations al la carte ",,,,,,
,,,,,,,
,,,,,,,
,Discipline →,Revit to CAD Conversion,,,Additional Interior Elevation or Section,,
,Area ↓,Basic Architecture,A+S+Site,A+S+MEP+Site,,,
,0-5k,0.050,0.055,0.070,,1-10,$25.00
,5k-10k,0.040,0.045,0.050,,10-20,$20.00
,10k-20k,0.025,0.030,0.035,,20-100,$15.00
,20k-30k,0.020,0.025,0.030,,100-300,$10.00
,30k-40k,0.020,0.025,0.022,,300+,$5.00
,40k-50k,0.018,0.020,0.022,,,
,50k-75k,0.016,0.015,0.020,,,
,75k-100k,0.016,0.015,0.018,,,
,100k+,0.012,0.014,0.015,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Standard Package,,Interior Package,,,,
,Floor Plans,,Floor Plans,,,,
,Exterior Elevations,,Roof Plan,,,,
,Roof Plan,,Up to 8 sections / interior elecations,,,,
,Up to 4 sections / interior elecations,,Reflected Ceiling Plan,,,,
,,,,,,,
,if MEP,,if MEP,,,,
,,,,,,,
,Reflected Ceiling Plan,,MEP Plan (if requested),,,,
,MEP Plan (if requested),,,,,,
