,,,,
,Price Matrix for Scan-to-CAD,,,
,,,,
,,,,
1,Residential Standard (Single Family),,,
,"Independent housing units designed for individual households, the predominant form in private, single-occupancy neighborhoods.",,,
,,,,
,,,,
,Discipline →,Scan-To-CAD,,
,Area ↓ Basic Architecture A+S+Site A+S+MEP+Site,Basic Architecture,A+S+Site,A+S+MEP+Site
,0-5k ,0.088,0.128,0.177
,5k-10k,0.084,0.123,0.167
,10k-20k ,0.080,0.119,0.162
,20k-30k ,0.076,0.115,0.149
,30k-40k,0.076,0.111,0.149
,40k-50k ,0.072,0.106,0.144
,50k-75k ,0.060,0.098,0.118
,75k-100k ,0.044,0.072,0.099
,100k+ ,0.032,0.051,0.066
,,,,
2,Residential Standard (Multi Family),,,
,Housing classification for structures designed to accommodate multiple separate dwelling units within a single building.,,,
,,,,
,Discipline →,Scan-To-CAD,,
,Area ↓ Basic Architecture A+S+Site A+S+MEP+Site,Basic Architecture,A+S+Site,A+S+MEP+Site
,0-5k ,0.096,0.136,0.186
,5k-10k,0.092,0.132,0.176
,10k-20k ,0.088,0.128,0.171
,20k-30k ,0.080,0.115,0.158
,30k-40k,0.076,0.111,0.154
,40k-50k ,0.072,0.106,0.149
,50k-75k ,0.064,0.102,0.123
,75k-100k ,0.048,0.077,0.104
,100k+ ,0.036,0.055,0.071
,,,,
,,,,
3,Residential Luxury ,,,
,"High-end, upscale living spaces with premium amenities, exceptional design, and exclusive features, offering a luxurious lifestyle.",,,
,,,,
,Discipline →,Scan-To-CAD,,
,Area ↓ Basic Architecture A+S+Site A+S+MEP+Site,Basic Architecture,A+S+Site,A+S+MEP+Site
,0-5k ,0.108,0.149,0.200
,5k-10k,0.104,0.145,0.190
,10k-20k ,0.100,0.140,0.185
,20k-30k ,0.096,0.136,0.172
,30k-40k,0.088,0.128,0.163
,40k-50k ,0.084,0.123,0.158
,50k-75k ,0.072,0.111,0.132
,75k-100k ,0.056,0.085,0.113
,100k+ ,0.440,0.064,0.080
,,,,
,,,,
4,Commercial/Office,,,
,"A structure designed and designated for business and professional activities, providing office spaces and facilities for commercial enterprises.",,,
,,,,
,,,,
,Discipline →,Scan-To-CAD,,
,Area ↓ Basic Architecture A+S+Site A+S+MEP+Site,Basic Architecture,A+S+Site,A+S+MEP+Site
,0-5k ,0.084,0.123,0.173
,5k-10k,0.080,0.119,0.163
,10k-20k ,0.076,0.115,0.158
,20k-30k ,0.072,0.111,0.145
,30k-40k,0.064,0.102,0.140
,40k-50k ,0.056,0.098,0.135
,50k-75k ,0.052,0.089,0.110
,75k-100k ,0.036,0.064,0.091
,100k+ ,0.024,0.043,0.058
,,,,
5,Retail/Restaurants/Cafe,,,
,"A commercial structure designed for the sale of goods or provision of food services, catering to retail, dining, and dietary experiences.",,,
,,,,
,Discipline →,Scan-To-CAD,,
,Area ↓ Basic Architecture A+S+Site A+S+MEP+Site,Basic Architecture,A+S+Site,A+S+MEP+Site
,0-5k ,0.104,0.145,0.195
,5k-10k,0.100,0.140,0.185
,10k-20k ,0.096,0.136,0.180
,20k-30k ,0.088,0.128,0.167
,30k-40k,0.088,0.115,0.158
,40k-50k ,0.076,0.111,0.153
,50k-75k ,0.068,0.106,0.128
,75k-100k ,0.052,0.081,0.109
,100k+ ,0.040,0.060,0.076
,,,,
,,,,
6,Kitchen space/ Catering Kitchen,,,
,"Dedicated area equipped for food preparation, often utilized for professional catering services or large-scale culinary operations.",,,
,,,,
,,,,
,Discipline →,Scan-To-CAD,,
,Area ↓ Basic Architecture A+S+Site A+S+MEP+Site,Basic Architecture,A+S+Site,A+S+MEP+Site
,0-5k ,0.084,0.123,0.173
,5k-10k,0.080,0.119,0.163
,10k-20k ,0.076,0.115,0.158
,20k-30k ,0.072,0.111,0.145
,30k-40k,0.068,0.106,0.140
,40k-50k ,0.064,0.102,0.135
,50k-75k ,0.052,0.089,0.110
,75k-100k ,0.036,0.064,0.091
,100k+ ,0.024,0.043,0.058
,,,,
,,,,
11,Warehouse/Storage/Fulfillment centre,,,
,"A facility designed for the storage, organization, and distribution of goods, serving as a central hub for inventory management and order fulfillment.",,,
,,,,
,,,,
,Discipline →,Scan-To-CAD,,
,Area ↓ Basic Architecture A+S+Site A+S+MEP+Site,Basic Architecture,A+S+Site,A+S+MEP+Site
,0-5k ,0.076,0.115,0.164
,5k-10k,0.072,0.111,0.154
,10k-20k ,0.068,0.106,0.149
,20k-30k ,0.056,0.094,0.136
,30k-40k,0.052,0.085,0.136
,40k-50k ,0.048,0.077,0.131
,50k-75k ,0.040,0.072,0.105
,75k-100k ,0.032,0.047,0.086
,100k+ ,0.020,0.038,0.053
