"id","name","slug","category","content","description","version","is_default","is_active","sort_order","variables","created_at","updated_at","created_by"
"1","Cover Page","cover-page","intro","# Scan2Plan Proposal

## {{project_name}}

**Prepared for:** {{client_name}}

**Date:** {{quote_date}}

**Valid Until:** {{valid_until}}

---

*Professional 3D Scanning & BIM Modeling Services*

![Scan2Plan Logo](/logo.png)

---

**Scan2Plan**
Brooklyn, NY
www.scan2plan.com
",,"1","true","true","1","[""client_name"",""project_name"",""quote_date"",""valid_until""]","""2026-01-14T02:10:09.540Z""","""2026-01-14T02:10:09.540Z""",
"2","Executive Summary","executive-summary","intro","## Executive Summary

Thank you for considering Scan2Plan for your **{{project_name}}** project located at **{{project_address}}**.

We are pleased to provide this proposal for professional 3D laser scanning and BIM modeling services. Our team combines cutting-edge technology with deep industry expertise to deliver accurate, reliable as-built documentation.

### Why Scan2Plan?

- **Accuracy Guaranteed**: ±1/8"" precision across all deliverables
- **Fast Turnaround**: Industry-leading delivery times
- **Full-Service**: From field scanning to final BIM model
- **Quality Assured**: ISO-certified processes

We look forward to partnering with {{client_name}} on this project.
",,"1","true","true","2","[""project_name"",""client_name"",""project_address""]","""2026-01-14T02:10:09.540Z""","""2026-01-14T02:10:09.540Z""",
"3","About Scan2Plan","about-scan2plan","company","## About Scan2Plan

**Scan2Plan** is a leading provider of 3D laser scanning and BIM modeling services, serving architects, engineers, contractors, and building owners across the Northeast.

### Our Expertise

- **3D Laser Scanning**: High-definition point cloud capture
- **BIM Modeling**: LOD 200-400 Revit models
- **CAD Conversion**: 2D floor plans and elevations
- **Virtual Tours**: Matterport 3D walkthroughs
- **As-Built Documentation**: Complete building documentation

### Our Clients

We proudly serve industry leaders including:
- Top architecture firms
- Major general contractors
- Property management companies
- Educational institutions
- Healthcare facilities

### Quality Commitment

All projects are delivered with our quality guarantee. Our ISO-certified workflow ensures consistency, accuracy, and reliability on every engagement.
",,"1","true","true","3","[]","""2026-01-14T02:10:09.540Z""","""2026-01-14T02:10:09.540Z""",
"4","Scope of Work","scope-of-work","scope","## Scope of Work

### Project Location
**{{project_address}}**

### Areas Included

{{areas_table}}

### Field Work

Our certified technicians will perform comprehensive 3D laser scanning of all areas specified above. The scanning process includes:

1. **Site Preparation**: Coordination with facility contacts
2. **Scanning**: Complete coverage of all specified areas
3. **Field Notes**: Documentation of conditions and observations
4. **Quality Check**: On-site verification of data capture

### Deliverables

Upon completion of modeling, you will receive:

- Revit model at specified LOD levels
- Point cloud files (RCP/RCS format)
- PDF exports of floor plans and elevations
- Project coordination support
",,"1","true","true","4","[""project_name"",""project_address"",""areas_table""]","""2026-01-14T02:10:09.540Z""","""2026-01-14T02:10:09.540Z""",
"5","Deliverables Detail","deliverables-detail","scope","## Deliverables

### Revit BIM Model

Your Revit model will include:

- **Architecture**: Walls, doors, windows, ceilings, stairs, railings
- **MEP/F**: Major mechanical equipment, ductwork, piping, fixtures
- **Structural**: Columns, beams, floor/roof structure

### LOD Definitions

| LOD | Description |
|-----|-------------|
| LOD 200 | Generic system representations, approximate geometry |
| LOD 300 | Specific system assemblies, accurate geometry and location |
| LOD 350 | LOD 300 plus interfaces and connections |
| LOD 400 | Fabrication-ready, shop drawing level detail |

### File Formats

- Revit (.rvt) - Native format
- Point Cloud (.rcp/.rcs) - Compressed laser scan data
- DWG (.dwg) - AutoCAD format
- PDF - Print-ready documentation
",,"1","true","true","5","[]","""2026-01-14T02:10:09.540Z""","""2026-01-14T02:10:09.540Z""",
"6","Service Deliverables","service-deliverables","pricing","## What's Included

**End-to-End Project Management and Customer Service**

Our team provides dedicated project management from kick-off through delivery, ensuring clear communication and timely updates throughout the engagement.

---

### LiDAR Scanning
A certified scanning technician will capture the {{scope}} using state-of-the-art 3D laser scanning equipment. Our technicians are trained to efficiently capture comprehensive data while minimizing disruption to your operations.

### Matterport Scanning
A scanning technician will capture the {{matterport_scope}} using Matterport Pro2 cameras, creating immersive 3D virtual tours and dollhouse views of your space.

### Point Cloud Registration
Point cloud data captured on-site will be registered, cleaned, and reviewed for quality assurance. This process ensures seamless alignment of all scan positions and removes noise or artifacts from the data.

### BIM Modeling
Your deliverable will be modeled in your preferred software (Revit, ArchiCAD, Rhino, SketchUp, etc.) to the specified Level of Detail. Our modeling team follows industry-standard BIM practices and your template requirements.

### CAD Drafting
CAD sheets will be prepared according to your standards, including floor plans, reflected ceiling plans, elevations, and sections as specified in your scope.

### QA/QC
The entire project is redundantly reviewed and checked by our QC team and senior engineering staff. Multiple quality gates ensure accuracy, completeness, and adherence to your deliverable specifications.
",,"1","true","true","6","[""scope"",""matterport_scope""]","""2026-01-14T02:10:09.540Z""","""2026-01-14T02:10:09.540Z""",
"7","Pricing","pricing","pricing","## Investment

### Pricing Breakdown

{{line_items_table}}

---

### **Total: {{total_price}}**

*Prices are valid for 30 days from proposal date.*

### What's Included

- All field scanning labor and equipment
- BIM modeling to specified LOD levels
- One round of revisions
- Project management and coordination
- Electronic file delivery
",,"1","true","true","7","[""line_items_table"",""total_price""]","""2026-01-14T02:10:09.540Z""","""2026-01-14T02:10:09.540Z""",
"8","Timeline","timeline","scope","## Timeline

### Estimated Project Duration: {{timeline}}

| Phase | Duration |
|-------|----------|
| Scheduling & Coordination | 1-2 days |
| Field Scanning | 1-3 days |
| Data Processing | 2-3 days |
| BIM Modeling | 1-3 weeks |
| Quality Review | 2-3 days |
| Delivery & Revisions | As needed |

*Timeline begins upon receipt of signed proposal and retainer payment.*

### Scheduling Flexibility

We can often accommodate rush timelines for an additional fee. Please contact us to discuss expedited options if needed.
",,"1","true","true","8","[""timeline""]","""2026-01-14T02:10:09.540Z""","""2026-01-14T02:10:09.540Z""",
"9","Payment Terms - Owner","payment-terms-owner","terms","## Payment Terms

### Pricing Basis

The price estimate is based on a square footage estimate. The total cost of the project will be determined by the actual square footage scanned and modeled. We use the **BOMA 2024 Gross Areas Standard**, and will send a square footage audit approximately one week after scan completion.

### Payment Schedule

- **50% of the estimated cost** will be due at the time of the client engaging the Services.
- The first invoice will be for half of the estimated cost.
- The second invoice, due upon delivery, will be for the outstanding balance based on the total square footage scanned and modeled.

### Accepted Forms of Payment

- **ACH** (Preferred Method)
- **Check** - Please mail check to Scan2Plan, 188 1st St., Troy, NY 12180
- **Credit Card** (additional 3% fee) - Email accounting@scan2plan.io to request this option
",,"1","true","true","9","[]","""2026-01-14T02:10:09.540Z""","""2026-01-14T02:10:09.540Z""",
"10","Payment Terms - Partner","payment-terms-partner","terms","## Payment Terms

### Pricing Basis

The price estimate is based on a square footage estimate. The total cost of the project will be determined by the actual square footage scanned and modeled. We use the **BOMA 2024 Gross Areas Standard**, and will send a square footage audit approximately one week after scan completion.

### Payment Schedule

- **50% of the estimated cost** will be due at the time of the client (""Client"") engaging the Services.
- The first invoice will be for half of the estimated cost.
- The second invoice will be for the outstanding balance based on the total square footage scanned and modeled.

### Accepted Forms of Payment

- **ACH** (Preferred Method)
- **Check** - Please mail check to Scan2Plan, 188 1st St., Troy, NY 12180
- **Credit Card** (additional 3% fee) - Email accounting@scan2plan.io to request this option
",,"1","false","true","9","[]","""2026-01-14T02:10:09.540Z""","""2026-01-14T02:10:09.540Z""",
